id,time,zhonghnanindown
5674,2016/1/9 16:45,59
5675,2016/1/9 16:50,35
5676,2016/1/9 16:55,53
5677,2016/1/9 17:00,50
5678,2016/1/9 17:05,59
5679,2016/1/9 17:10,49
5680,2016/1/9 17:15,50
5681,2016/1/9 17:20,50
5682,2016/1/9 17:25,47
5683,2016/1/9 17:30,60
5684,2016/1/9 17:35,47
5685,2016/1/9 17:40,52
5686,2016/1/9 17:45,45
5687,2016/1/9 17:50,49
5688,2016/1/9 17:55,37
5689,2016/1/9 18:00,36
5690,2016/1/9 18:05,37
5691,2016/1/9 18:10,33
5692,2016/1/9 18:15,33
5693,2016/1/9 18:20,33
5694,2016/1/9 18:25,36
5695,2016/1/9 18:30,34
5696,2016/1/9 18:35,25
5697,2016/1/9 18:40,22
5698,2016/1/9 18:45,27
5699,2016/1/9 18:50,28
5700,2016/1/9 18:55,24
5701,2016/1/9 19:00,29
5702,2016/1/9 19:05,25
5703,2016/1/9 19:10,29
5704,2016/1/9 19:15,22
5705,2016/1/9 19:20,31
5706,2016/1/9 19:25,13
5707,2016/1/9 19:30,19
5708,2016/1/9 19:35,13
5709,2016/1/9 19:40,13
5710,2016/1/9 19:45,14
5711,2016/1/9 19:50,26
5712,2016/1/9 19:55,18
5713,2016/1/9 20:00,18
5714,2016/1/9 20:05,11
5715,2016/1/9 20:10,20
5716,2016/1/9 20:15,16
5717,2016/1/9 20:20,21
5718,2016/1/9 20:25,19
5719,2016/1/9 20:30,18
5720,2016/1/9 20:35,14
5721,2016/1/9 20:40,18
5722,2016/1/9 20:45,17
5723,2016/1/9 20:50,16
5724,2016/1/9 20:55,11
5725,2016/1/9 21:00,8
5726,2016/1/9 21:05,17
5727,2016/1/9 21:10,13
5728,2016/1/9 21:15,10
5729,2016/1/9 21:20,15
5730,2016/1/9 21:25,7
5731,2016/1/9 21:30,14
5732,2016/1/9 21:35,10
5733,2016/1/9 21:40,8
5734,2016/1/9 21:45,4
5735,2016/1/9 21:50,8
5736,2016/1/9 21:55,11
5737,2016/1/9 22:00,14
5738,2016/1/9 22:05,9
5739,2016/1/9 22:10,11
5740,2016/1/9 22:15,5
5741,2016/1/9 22:20,9
5742,2016/1/9 22:25,11
5743,2016/1/9 22:30,5
5744,2016/1/9 22:35,7
5745,2016/1/9 22:40,7
5746,2016/1/9 22:45,7
5747,2016/1/9 22:50,0
5748,2016/1/9 22:55,6
5749,2016/1/9 23:00,6
5750,2016/1/9 23:05,4
5751,2016/1/9 23:10,5
5752,2016/1/9 23:15,6
5753,2016/1/9 23:20,8
5754,2016/1/9 23:25,8
5755,2016/1/9 23:30,5
5756,2016/1/9 23:35,3
5757,2016/1/9 23:40,3
5758,2016/1/9 23:45,6
5759,2016/1/9 23:50,4
5760,2016/1/9 23:55,8
5761,2016/1/10 0:00,2
5762,2016/1/10 0:05,3
5763,2016/1/10 0:10,4
5764,2016/1/10 0:15,2
5765,2016/1/10 0:20,2
5766,2016/1/10 0:25,2
5767,2016/1/10 0:30,0
5768,2016/1/10 0:35,1
5769,2016/1/10 0:40,2
5770,2016/1/10 0:45,4
5771,2016/1/10 0:50,0
5772,2016/1/10 0:55,2
5773,2016/1/10 1:00,3
5774,2016/1/10 1:05,1
5775,2016/1/10 1:10,2
5776,2016/1/10 1:15,1
5777,2016/1/10 1:20,2
5778,2016/1/10 1:25,5
5779,2016/1/10 1:30,4
5780,2016/1/10 1:35,4
5781,2016/1/10 1:40,1
5782,2016/1/10 1:45,2
5783,2016/1/10 1:50,3
5784,2016/1/10 1:55,2
5785,2016/1/10 2:00,2
5786,2016/1/10 2:05,1
5787,2016/1/10 2:10,3
5788,2016/1/10 2:15,0
5789,2016/1/10 2:20,0
5790,2016/1/10 2:25,0
5791,2016/1/10 2:30,3
5792,2016/1/10 2:35,0
5793,2016/1/10 2:40,1
5794,2016/1/10 2:45,1
5795,2016/1/10 2:50,2
5796,2016/1/10 2:55,1
5797,2016/1/10 3:00,0
5798,2016/1/10 3:05,1
5799,2016/1/10 3:10,1
5800,2016/1/10 3:15,2
5801,2016/1/10 3:20,0
5802,2016/1/10 3:25,4
5803,2016/1/10 3:30,2
5804,2016/1/10 3:35,2
5805,2016/1/10 3:40,2
5806,2016/1/10 3:45,1
5807,2016/1/10 3:50,1
5808,2016/1/10 3:55,2
5809,2016/1/10 4:00,4
5810,2016/1/10 4:05,2
5811,2016/1/10 4:10,3
5812,2016/1/10 4:15,0
5813,2016/1/10 4:20,3
5814,2016/1/10 4:25,1
5815,2016/1/10 4:30,0
5816,2016/1/10 4:35,3
5817,2016/1/10 4:40,1
5818,2016/1/10 4:45,5
5819,2016/1/10 4:50,4
5820,2016/1/10 4:55,9
5821,2016/1/10 5:00,4
5822,2016/1/10 5:05,3
5823,2016/1/10 5:10,5
5824,2016/1/10 5:15,5
5825,2016/1/10 5:20,2
5826,2016/1/10 5:25,3
5827,2016/1/10 5:30,7
5828,2016/1/10 5:35,10
5829,2016/1/10 5:40,5
5830,2016/1/10 5:45,8
5831,2016/1/10 5:50,6
5832,2016/1/10 5:55,3
5833,2016/1/10 6:00,7
5834,2016/1/10 6:05,11
5835,2016/1/10 6:10,16
5836,2016/1/10 6:15,5
5837,2016/1/10 6:20,9
5838,2016/1/10 6:25,5
5839,2016/1/10 6:30,14
5840,2016/1/10 6:35,12
5841,2016/1/10 6:40,12
5842,2016/1/10 6:45,17
5843,2016/1/10 6:50,12
5844,2016/1/10 6:55,16
5845,2016/1/10 7:00,13
5846,2016/1/10 7:05,15
5847,2016/1/10 7:10,22
5848,2016/1/10 7:15,22
5849,2016/1/10 7:20,37
5850,2016/1/10 7:25,19
5851,2016/1/10 7:30,34
5852,2016/1/10 7:35,37
5853,2016/1/10 7:40,43
5854,2016/1/10 7:45,48
5855,2016/1/10 7:50,50
5856,2016/1/10 7:55,47
5857,2016/1/10 8:00,40
5858,2016/1/10 8:05,46
5859,2016/1/10 8:10,38
5860,2016/1/10 8:15,42
5861,2016/1/10 8:20,46
5862,2016/1/10 8:25,45
5863,2016/1/10 8:30,46
5864,2016/1/10 8:35,45
5865,2016/1/10 8:40,56
5866,2016/1/10 8:45,49
5867,2016/1/10 8:50,53
5868,2016/1/10 8:55,41
5869,2016/1/10 9:00,40
